id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country,seller_address_state,seller_address_city,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,BRAND,ITEM_CONDITION,MODEL,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO595839638,MCO,Juego De Sala 7 Piezas + Comedor 6 Puestos,1789000,,COP,1,5,buy_it_now,gold_special,2041-05-22T18:58:29.000Z,new,https://articulo.mercadolibre.com.co/MCO-595839638-juego-de-sala-7-piezas-comedor-6-puestos-_JM,http://http2.mlstatic.com/D_891260-MCO44165418623_112020-O.jpg,891260-MCO44165418623_112020,True,,MCO166338,,MCO-LIVING_ROOM_SETS,,50,False,,,,,,675404470,,,False,False,,MCO595839638,"[{'id': '7', 'type': 'standard', 'amount': 1789000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-16T19:20:27Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '6', 'type': 'promotion', 'amount': 1509550, 'regular_amount': 1589000, 'currency_id': 'COP', 'last_updated': '2021-08-23T23:25:41Z', 'conditions': {'context_restrictions': [], 'start_time': '2021-08-26T05:00:00Z', 'end_time': '2021-08-27T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '505793-MCO595839638', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],36,49694.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,custom,[],custom,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-DC', 'name': 'Bogotá D.C.'}","{'id': 'TUNPQ01BUjU5NzU1', 'name': 'Martires'}",,,3,mobiliariacrear.co,Nuevo,riñonera 2x2 + Reina 6 puestos,4,0,1,1
MCO511913823,MCO,Dispensador De Agua Eléctrico Recargable Usb Bomba Universal,17711,,COP,100,500,buy_it_now,gold_special,2041-11-06T18:58:04.000Z,new,https://articulo.mercadolibre.com.co/MCO-511913823-dispensador-de-agua-electrico-recargable-usb-bomba-universal-_JM,http://http2.mlstatic.com/D_770825-MCO31061163047_062019-I.jpg,770825-MCO31061163047_062019,True,19900,MCO412631,,MCO-DRINK_DISPENSERS,,49,True,,,,,,62840024,,,False,False,,MCO511913823,"[{'id': '25', 'type': 'standard', 'amount': 19900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-12T16:53:01Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '26', 'type': 'promotion', 'amount': 16915, 'regular_amount': 19900, 'currency_id': 'COP', 'last_updated': '2022-02-03T20:24:55Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-03T20:23:55Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4166001', 'promotion_id': 'MCO511913823-7b613cc6-888a-47fb-934d-edda8770566b', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 796, 'campaign_discount_percentage': 15, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 17711}}]",{'display_currency': 'COP'},[],[],[],36,491.97,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-DC', 'name': 'Bogotá D.C.'}","{'id': 'TUNPQ01BUjU5NzU1', 'name': 'Martires'}",,,6,Dispenser,Nuevo,Universal,5,1,0,1
MCO652645655,MCO,Cobija Térmica Ovejera Gigante Cama Doble 230cmx190cm,88900,,COP,5000,500,buy_it_now,gold_special,2041-11-03T20:03:35.000Z,new,https://articulo.mercadolibre.com.co/MCO-652645655-cobija-termica-ovejera-gigante-cama-doble-230cmx190cm-_JM,http://http2.mlstatic.com/D_651422-MCO49053874195_022022-O.jpg,651422-MCO49053874195_022022,True,,MCO166346,,MCO-BLANKETS,,48,False,,,,,,240893296,,,False,False,,MCO652645655,"[{'id': '12', 'type': 'standard', 'amount': 88900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-27T22:19:52Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '46', 'type': 'promotion', 'amount': 80010, 'regular_amount': 88900, 'currency_id': 'COP', 'last_updated': '2022-02-09T14:54:03Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-15T05:00:00Z', 'end_time': '2022-02-16T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1590730-MCO652645655', 'promotion_type': 'deal_of_the_day'}}]",{'display_currency': 'COP'},[],[],[],36,2469.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,True,me2,"['self_service_in', 'fbm_in_process', 'mandatory_free_shipping']",cross_docking,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-DC', 'name': 'Bogotá D.C.'}","{'id': 'TUNPQ1BVRTg0NTU0', 'name': 'Puente Aranda'}",,,5,Josefino Peluches Grandes,Nuevo,Cobija Ovejera Térmica,6,1,1,1
MCO632283805,MCO,Comedor En Promoción Juego De Comedor En Promoción 4 Puestos,1199900,,COP,1,4,buy_it_now,gold_special,2041-06-01T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-632283805-comedor-en-promocion-juego-de-comedor-en-promocion-4-puestos-_JM,http://http2.mlstatic.com/D_903504-MCO47813971779_102021-O.jpg,903504-MCO47813971779_102021,True,,MCO177108,,MCO-DINING_SETS,,47,False,,,,,,659517250,,,False,False,,MCO632283805,"[{'id': '6', 'type': 'standard', 'amount': 1199900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-22T06:18:17Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,33330.56,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,False,not_specified,[],not_specified,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-ANT', 'name': 'Antioquia'}","{'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}",,,4,Dominga,Nuevo,398926,4,0,1,1
MCO593297694,MCO,Zapatera Organizador De Zapatos Metálico 4 Niveles ,37905,,COP,500,500,buy_it_now,gold_special,2041-01-01T17:04:12.000Z,new,https://articulo.mercadolibre.com.co/MCO-593297694-zapatera-organizador-de-zapatos-metalico-4-niveles-_JM,http://http2.mlstatic.com/D_894176-MCO44612780509_012021-O.jpg,894176-MCO44612780509_012021,True,39900,MCO419500,,MCO-SHOE_RACKS,,46,False,,,,,,5162681,,,False,False,,MCO593297694,"[{'id': '36', 'type': 'standard', 'amount': 39900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-04T17:26:54Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '68', 'type': 'promotion', 'amount': 37905, 'regular_amount': 39900, 'currency_id': 'COP', 'last_updated': '2022-02-14T17:38:52Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '69', 'type': 'promotion', 'amount': 35910, 'regular_amount': 39900, 'currency_id': 'COP', 'last_updated': '2022-02-14T17:38:52Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-18T17:00:00Z', 'end_time': '2022-02-18T23:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1616778-MCO593297694', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],36,1052.92,0,COP,CO-RIS,Risaralda,TUNPQ0RPU2E2OGE1,Dosquebradas,False,me2,[],drop_off,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-RIS', 'name': 'Risaralda'}","{'id': 'TUNPQ0RPU2E2OGE1', 'name': 'Dosquebradas'}",,,2,,Nuevo,,6,1,1,1
MCO815560346,MCO,Silla Sillon Ejecutivo Oficina Reclinable Ergonomica,309900,,COP,500,500,buy_it_now,gold_special,2041-09-24T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-815560346-silla-sillon-ejecutivo-oficina-reclinable-ergonomica-_JM,http://http2.mlstatic.com/D_768076-MCO48198147831_112021-O.jpg,768076-MCO48198147831_112021,True,439900,MCO113544,1640,MCO-OFFICE_CHAIRS,,45,False,,,,,,241976445,,,False,False,,MCO815560346,"[{'id': '32', 'type': 'standard', 'amount': 439900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-03T14:33:21Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '83', 'type': 'promotion', 'amount': 309900, 'regular_amount': 439900, 'currency_id': 'COP', 'last_updated': '2022-02-15T15:02:54Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}, {'id': '84', 'type': 'promotion', 'amount': 299900, 'regular_amount': 439900, 'currency_id': 'COP', 'last_updated': '2022-02-15T15:02:54Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-15T05:00:00Z', 'end_time': '2022-02-16T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1621384-MCO815560346', 'promotion_type': 'deal_of_the_day'}}]",{'display_currency': 'COP'},[],[],[],36,8608.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ0ZPTjcyNzAz,Fontibón,True,me2,"['self_service_out', 'fbm_in_process', 'mandatory_free_shipping']",drop_off,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-DC', 'name': 'Bogotá D.C.'}","{'id': 'TUNPQ0ZPTjcyNzAz', 'name': 'Fontibón'}",,,6,Urban Design,Nuevo,SILLA_OFICINA,7,1,1,1
MCO558493958,MCO,Semillas De Pastos Brachiaria Decumbens Bolsa Por 1 Kilo,28850,,COP,50,5000,buy_it_now,gold_pro,2040-04-04T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-558493958-semillas-de-pastos-brachiaria-decumbens-bolsa-por-1-kilo-_JM,http://http2.mlstatic.com/D_709629-MCO41387943098_042020-I.jpg,709629-MCO41387943098_042020,True,,MCO172906,,MCO-GARDENING_AND_AGRICULTURE_SEEDS,,44,True,,,,,,123316374,,,False,False,,MCO558493958,"[{'id': '20', 'type': 'standard', 'amount': 28850, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-20T05:30:47Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '38', 'type': 'promotion', 'amount': 27407, 'regular_amount': 28850, 'currency_id': 'COP', 'last_updated': '2022-01-24T05:02:10Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-25T17:00:00Z', 'end_time': '2022-01-25T23:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1500355-MCO558493958', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],12,2404.17,0,COP,CO-ANT,Antioquia,TUNPQ0dJUmExMTU3,Girardota,False,me2,"['fulfillment', 'suspended_by_collect']",fulfillment,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-ANT', 'name': 'Antioquia'}","{'id': 'TUNPQ0dJUmExMTU3', 'name': 'Girardota'}",,,8,Sementes,Nuevo,,7,1,1,1
MCO468795097,MCO,Sofa Palet Estibas + Cojines En Lona - 120 X 80 - 2 Puestos,319900,,COP,500,200,buy_it_now,gold_pro,2038-04-14T14:53:13.000Z,new,https://articulo.mercadolibre.com.co/MCO-468795097-sofa-palet-estibas-cojines-en-lona-120-x-80-2-puestos-_JM,http://http2.mlstatic.com/D_955309-MCO43908590557_102020-O.jpg,955309-MCO43908590557_102020,True,,MCO166338,,MCO-LIVING_ROOM_SETS,,43,False,,,,,,35510659,,,False,False,,MCO468795097,"[{'id': '7', 'type': 'standard', 'amount': 319900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-06T20:22:00Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,26658.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,custom,[],custom,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-DC', 'name': 'Bogotá D.C.'}","{'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}",,,3,ESTILO RELAX,Reacondicionado,PALLET,4,0,1,1
MCO594407833,MCO,Balanza Gramera Báscula Cocina Digital Capacidad Hasta 10kg,14900,,COP,50,500,buy_it_now,gold_special,2041-06-17T16:34:30.000Z,new,https://articulo.mercadolibre.com.co/MCO-594407833-balanza-gramera-bascula-cocina-digital-capacidad-hasta-10kg-_JM,http://http2.mlstatic.com/D_856511-MCO48637131488_122021-O.jpg,856511-MCO48637131488_122021,True,,MCO118000,,MCO-COOKING_SCALES,,42,False,,,,,,614021964,,,False,False,,MCO594407833,"[{'id': '7', 'type': 'standard', 'amount': 14900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-20T19:08:25Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '5', 'type': 'promotion', 'amount': 12825, 'regular_amount': 13500, 'currency_id': 'COP', 'last_updated': '2021-11-03T13:29:43Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-11-07T17:00:00Z', 'end_time': '2021-11-07T23:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '976778-MCO594407833', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],36,413.89,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,False,me2,['fulfillment'],fulfillment,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-ANT', 'name': 'Antioquia'}","{'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}",,,3,MORÁNDANO TIENDA,Nuevo,,7,1,1,1
MCO603557198,MCO,Zapatera Organizador De Zapatos Para 40/50 Pares Desarmable,139900,,COP,500,500,buy_it_now,gold_special,2041-01-18T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-603557198-zapatera-organizador-de-zapatos-para-4050-pares-desarmable-_JM,http://http2.mlstatic.com/D_860412-MCO44686755880_012021-O.jpg,860412-MCO44686755880_012021,True,,MCO419500,,MCO-SHOE_RACKS,,41,False,,,,,,326379449,,,False,False,,MCO603557198,"[{'id': '2', 'type': 'standard', 'amount': 139900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-28T21:46:59Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,3886.11,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-DC', 'name': 'Bogotá D.C.'}","{'id': 'TUNPQ0VORzkzMTUz', 'name': 'Engativá'}",,,2,,Nuevo,50 Pares,6,1,1,1
MCO598638556,MCO,Closet Bariloche Wengue,770900,,COP,250,250,buy_it_now,gold_special,2041-08-14T15:21:15.000Z,new,https://articulo.mercadolibre.com.co/MCO-598638556-closet-bariloche-wengue-_JM,http://http2.mlstatic.com/D_727618-MCO44347628385_122020-O.jpg,727618-MCO44347628385_122020,True,1233900,MCO166350,1471,MCO-WARDROBES,,40,False,,,,,,686352448,,,False,False,,MCO598638556,"[{'id': '110', 'type': 'standard', 'amount': 1257900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-09T15:18:53Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '114', 'type': 'promotion', 'amount': 770900, 'regular_amount': 1233900, 'currency_id': 'COP', 'last_updated': '2022-02-11T14:40:09Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,21413.89,0,COP,CO-VAC,Valle Del Cauca,TUNPQ1lVTTE2MGZm,Yumbo,False,not_specified,[],not_specified,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-VAC', 'name': 'Valle Del Cauca'}","{'id': 'TUNPQ1lVTTE2MGZm', 'name': 'Yumbo'}",,,6,RTA DESIGN,Nuevo,CLW 1708,5,1,1,1
MCO586370706,MCO,Cobija Térmica Ovejera Cama Doble/queen,91900,,COP,50,500,buy_it_now,gold_special,2040-11-01T02:28:28.000Z,new,https://articulo.mercadolibre.com.co/MCO-586370706-cobija-termica-ovejera-cama-doblequeen-_JM,http://http2.mlstatic.com/D_655227-MCO44171654682_112020-O.jpg,655227-MCO44171654682_112020,True,,MCO166346,,MCO-BLANKETS,,39,False,,,,,,149996738,,,False,False,,MCO586370706,"[{'id': '5', 'type': 'standard', 'amount': 91900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-31T17:37:18Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '6', 'type': 'standard', 'amount': 84900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-31T17:37:18Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,2552.78,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,True,me2,"['fulfillment', 'fs_threshold_mco_change_apr2021', 'self_service_in', 'mandatory_free_shipping']",fulfillment,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-DC', 'name': 'Bogotá D.C.'}","{'id': 'TUNPQ1BVRTg0NTU0', 'name': 'Puente Aranda'}",,,5,Dcor,Nuevo,Cobija Ovejera,7,1,0,1
MCO641980737,MCO,Comedor Liverpool 6 Puestos En Tela ,1762400,,COP,50,5,buy_it_now,gold_special,2041-06-26T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-641980737-comedor-liverpool-6-puestos-en-tela-_JM,http://http2.mlstatic.com/D_975898-MCO46586231302_072021-O.jpg,975898-MCO46586231302_072021,True,,MCO177108,,MCO-DINING_SETS,,38,False,,,,,,115822027,,,False,False,,MCO641980737,"[{'id': '3', 'type': 'standard', 'amount': 1762400, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-15T23:27:29Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,48955.56,0,COP,CO-DC,Bogotá D.C.,TUNPQ1RFVTY1OTk1,Teusaquillo,False,custom,[],custom,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-DC', 'name': 'Bogotá D.C.'}","{'id': 'TUNPQ1RFVTY1OTk1', 'name': 'Teusaquillo'}",,,4,Hogar Venecia,Nuevo,Liverpool,4,0,1,1
MCO612674287,MCO,Bombillo Led Wi-fi (inteligente) Rgb+blanco *google Alexa*,29450,,COP,250,500,buy_it_now,gold_special,2041-07-10T03:19:07.000Z,new,https://articulo.mercadolibre.com.co/MCO-612674287-bombillo-led-wi-fi-inteligente-rgbblanco-google-alexa-_JM,http://http2.mlstatic.com/D_887888-MCO47206868009_082021-O.jpg,887888-MCO47206868009_082021,True,31000,MCO167808,,MCO-LIGHT_BULBS,,37,False,,,,,,730731526,,,False,False,,MCO612674287,"[{'id': '32', 'type': 'standard', 'amount': 31000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-09T19:59:39Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '35', 'type': 'promotion', 'amount': 28520, 'regular_amount': 31000, 'currency_id': 'COP', 'last_updated': '2022-02-10T14:07:02Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-12T11:00:00Z', 'end_time': '2022-02-12T17:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1594136-MCO612674287', 'promotion_type': 'lightning'}}, {'id': '36', 'type': 'promotion', 'amount': 29450, 'regular_amount': 31000, 'currency_id': 'COP', 'last_updated': '2022-02-10T14:07:02Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,818.06,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['self_service_in'],xd_drop_off,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-DC', 'name': 'Bogotá D.C.'}","{'id': 'TUNPQ1NBTjkyOTU1', 'name': 'Santa Fe'}",,,4,IMPORT,Nuevo,RL 9,5,0,1,1
MCO570080635,MCO,Pata En H Para Escritorio En Pintura Electrostatica,40000,,COP,250,500,buy_it_now,gold_pro,2040-07-05T04:20:28.000Z,new,https://articulo.mercadolibre.com.co/MCO-570080635-pata-en-h-para-escritorio-en-pintura-electrostatica-_JM,http://http2.mlstatic.com/D_705181-MCO43710464128_102020-O.jpg,705181-MCO43710464128_102020,True,,MCO113543,,MCO-HOME_OFFICE_DESKS,,36,False,,,,,,157522935,,,False,False,,MCO570080635,"[{'id': '4', 'type': 'standard', 'amount': 40000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-04T17:19:15Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,3333.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ0ZPTjcyNzAz,Fontibón,False,not_specified,[],not_specified,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-DC', 'name': 'Bogotá D.C.'}","{'id': 'TUNPQ0ZPTjcyNzAz', 'name': 'Fontibón'}",,,4,FabModer,Nuevo,Pata base escritorio en H,3,0,0,1
MCO554240072,MCO,Combo Sala Sion + Comedor Milan Matiz 4 Viena Y Banca Tela ,5737000,,COP,1,2,buy_it_now,gold_special,2040-08-08T20:30:01.000Z,new,https://articulo.mercadolibre.com.co/MCO-554240072-combo-sala-sion-comedor-milan-matiz-4-viena-y-banca-tela-_JM,http://http2.mlstatic.com/D_637042-MCO40892270296_022020-O.jpg,637042-MCO40892270296_022020,True,,MCO166338,,MCO-LIVING_ROOM_SETS,,35,False,,,,,,115822027,,,False,False,,MCO554240072,"[{'id': '3', 'type': 'standard', 'amount': 5737000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-15T23:27:15Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,159361.11,0,COP,CO-DC,Bogotá D.C.,TUNPQ1RFVTY1OTk1,Teusaquillo,False,custom,[],custom,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-DC', 'name': 'Bogotá D.C.'}","{'id': 'TUNPQ1RFVTY1OTk1', 'name': 'Teusaquillo'}",,,3,Hogar Venecia,Nuevo,Sion/Viena,4,0,1,1
MCO583852526,MCO,Dispensador De Agua Para Botellón Manual Recargable Eco,21900,,COP,1,500,buy_it_now,gold_pro,2040-09-16T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-583852526-dispensador-de-agua-para-botellon-manual-recargable-eco-_JM,http://http2.mlstatic.com/D_790418-MCO43533610586_092020-O.jpg,790418-MCO43533610586_092020,True,,MCO417225,,MCO-MANUAL_DRINKING_WATER_PUMPS,,34,False,,,,,,256669196,,,False,False,,MCO583852526,"[{'id': '68', 'type': 'standard', 'amount': 21900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-08T21:10:01Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,1825.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,"{'id': 'CO', 'name': 'Colombia'}","{'id': 'CO-DC', 'name': 'Bogotá D.C.'}","{'id': 'TUNPQ01BUjU5NzU1', 'name': 'Martires'}",,,4,,Nuevo,,4,0,0,1
